Rank, Fitness, kfsr, krsr_nostim, krsr_stim, kfmm, krmm, kfc_nostim, kfc_stim, S0, R0, D1, D1_over_D2
0, -56.7883, 9.1546, 282.95, 0.12277, 0.011792, 0.27353, 0.036282, 0.010327, 6.6269, 500, 0.085009, 5
1, -57.9090, 10, 427.3, 0.30157, 0.011792, 0.27353, 0.041115, 0.01229, 9.3627, 444.21, 0.086679, 3.5614
2, -58.2131, 10, 224.24, 0.53758, 0.030753, 1.798, 0.04315, 0.012411, 5.823, 493.38, 0.08477, 5
3, -58.4370, 10, 323.93, 0.19565, 0.012112, 0.148, 0.042446, 0.011547, 5.4157, 500, 0.10277, 5
4, -58.7165, 9.0857, 144.55, 0.2975, 0.050849, 1.798, 0.034423, 0.01144, 4.6874, 500, 0.082763, 3.7517
5, -59.3044, 9.0857, 52.843, 0.56818, 0.055475, 0.42624, 0.042771, 0.01144, 0.92942, 500, 0.092401, 3.2123
6, -59.3612, 10, 471.15, 0.12174, 0.019015, 0.47693, 0.038132, 0.0091596, 10, 500, 0.086679, 5
7, -59.7700, 10, 255.54, 0.83587, 0.054937, 1.6437, 0.056689, 0.01468, 5.9248, 382.58, 0.097827, 5
8, -60.0271, 10, 350.98, 0.1347, 0.022338, 1.798, 0.04315, 0.012793, 10, 500, 0.076095, 5
9, -60.1003, 10, 336.18, 0.1, 0.013638, 0.25812, 0.046005, 0.013764, 5.8904, 445.98, 0.092714, 5
10, -60.2006, 10, 347.61, 0.36689, 0.17167, 4.5082, 0.034423, 0.011337, 7.7753, 500, 0.076083, 5
11, -60.4895, 8.0399, 157.85, 0.254, 0.077723, 1.0194, 0.033268, 0.012085, 3.8732, 500, 0.082763, 3.1856
12, -60.7655, 10, 523.05, 0.33514, 0.017501, 0.3483, 0.044624, 0.011678, 9.0634, 500, 0.086679, 4.5004
13, -62.5090, 10, 353.95, 0.38507, 0.0066122, 0.27535, 0.040117, 0.015911, 10, 433.88, 0.086679, 4.2107
14, -62.7796, 9.1546, 495.96, 0.21976, 0.0073735, 0.16789, 0.036282, 0.010378, 9.2335, 500, 0.096026, 5
