Rank, Fitness, kfsr, krsr_nostim, krsr_stim, kfmm, krmm, kfc_nostim, kfc_stim, S0, R0, D1, D1_over_D2, X
0, -60.2958, 0.058909, 1.7074, 0.46058, 0.0058506, 0.013673, 0.081621, 0.024015, 1.4364, 500, 0.13161, 5, 7.5354
1, -61.6982, 0.10949, 2.7863, 0.29658, 0.0042664, 0.021013, 0.075843, 0.024222, 2.7191, 317.82, 0.10014, 5, 5
2, -63.7613, 0.05641, 1.2287, 0.23106, 0.0045038, 0.011241, 0.068691, 0.015605, 1.4364, 500, 0.13788, 5, 10
3, -63.8917, 0.038446, 0.85038, 0.19503, 0.003342, 0.01, 0.057486, 0.022877, 1.5011, 500, 0.13458, 5, 8.7836
4, -63.9779, 0.038446, 1.0112, 0.25543, 0.0045934, 0.017726, 0.093792, 0.020808, 1.9304, 370.3, 0.10403, 5, 5
5, -65.0533, 0.054319, 1.9291, 0.4494, 0.010092, 0.01, 0.070367, 0.015019, 1.4468, 500, 0.13161, 4.3125, 5
6, -65.5023, 0.076584, 0.99258, 0.16697, 0.0020234, 0.017383, 0.060626, 0.022877, 2.4005, 345.66, 0.11169, 5, 9.6645
7, -65.8674, 0.058909, 2.6638, 0.81386, 0.0047362, 0.01, 0.081621, 0.02102, 2.463, 391.64, 0.11513, 5, 5.4517
8, -66.0247, 0.058909, 1.7186, 0.46058, 0.0055318, 0.01, 0.11777, 0.037147, 1.9312, 248.91, 0.10966, 5, 5
9, -66.5349, 0.05641, 2.2831, 0.34157, 0.0042084, 0.011241, 0.039367, 0.01319, 2.8147, 500, 0.10894, 5, 7.1921
10, -67.1136, 0.040913, 2.1236, 0.64627, 0.005971, 0.025498, 0.12922, 0.041977, 2.1712, 466.51, 0.13161, 5, 5.433
11, -67.3023, 0.024876, 2.109, 0.71263, 0.010855, 0.01, 0.066768, 0.026682, 2.3126, 500, 0.13161, 4.952, 5
12, -67.6704, 0.07167, 1.7074, 0.27112, 0.008853, 0.01, 0.094259, 0.024881, 1.4364, 254.24, 0.13098, 5, 5
13, -68.2478, 0.063976, 1.0263, 0.21388, 0.0016502, 0.01, 0.086328, 0.016512, 1.258, 500, 0.083417, 5, 5
