Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0
0, -0.5985, 2.1212, 0.18397, 0.19312, 0.012332, 0.5458, 11.623, 0.39847, 110.96, 1.9579, 1.0368, 0.020271, 0.0051449, 0.60682, 3.9596, 0.0047993, 4.5416, 0.096416
1, -0.6305, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.43134, 110.96, 2.3364, 1.53, 0.017488, 0.0034878, 0.46428, 3.9596, 0.0049815, 4.5416, 0.096416
2, -0.6443, 2.1212, 0.23619, 0.19176, 0.01, 0.51674, 11.623, 0.39847, 110.96, 2.4185, 1.53, 0.012545, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
3, -0.6527, 1.6891, 0.14395, 0.19176, 0.012332, 0.45367, 11.623, 0.39847, 108.65, 2.2774, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0041446, 4.5416, 0.096416
4, -0.6599, 2.1212, 0.1953, 0.20209, 0.012332, 0.45165, 13.518, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0044775, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
5, -0.6613, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 2.458, 1.53, 0.011916, 0.0051449, 0.46428, 3.629, 0.0047993, 4.5416, 0.096416
6, -0.6629, 2.1212, 0.1953, 0.19176, 0.011001, 0.50255, 11.623, 0.39847, 110.96, 1.5814, 1.53, 0.014104, 0.0051449, 0.46428, 3.8046, 0.0047993, 4.5416, 0.096416
7, -0.6643, 2.1212, 0.1953, 0.19176, 0.010831, 0.37603, 11.623, 0.52535, 110.96, 2.0679, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
8, -0.6655, 2.1212, 0.1953, 0.19176, 0.012332, 0.47294, 13.323, 0.39847, 95.909, 1.6447, 1.9575, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
9, -0.6679, 2.1212, 0.1953, 0.19176, 0.015586, 0.54206, 10.224, 0.39847, 158.6, 1.6447, 1.53, 0.011522, 0.0052067, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
10, -0.6714, 2.1212, 0.1953, 0.22431, 0.01, 0.37603, 9.8831, 0.39847, 110.96, 2.2028, 1.53, 0.014104, 0.0051449, 0.58055, 3.9596, 0.0031364, 6.1593, 0.096416
11, -0.6741, 2.1212, 0.1953, 0.19176, 0.012332, 0.46644, 11.623, 0.2363, 110.96, 1.6447, 1.53, 0.014104, 0.0030999, 0.44289, 3.9596, 0.0047993, 5.1354, 0.096416
12, -0.6775, 2.1212, 0.1953, 0.19176, 0.010522, 0.37603, 11.623, 0.24146, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096803
13, -0.6803, 2.1212, 0.1953, 0.17164, 0.01, 0.37603, 11.623, 0.39847, 110.96, 1.8832, 1.905, 0.014104, 0.0051449, 0.6435, 3.9596, 0.0047993, 4.5416, 0.096416
14, -0.6853, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.2358, 110.96, 1.6447, 1.53, 0.01954, 0.0051449, 0.33023, 3.9596, 0.0047993, 4.5416, 0.096416
15, -0.6976, 2.1212, 0.1953, 0.19176, 0.01401, 0.48275, 11.623, 0.39847, 102.29, 1.6447, 1.53, 0.014104, 0.0051449, 0.30529, 3.9596, 0.0047993, 4.5416, 0.096416
16, -0.6989, 2.0947, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 2.2945, 1.53, 0.007786, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
17, -0.7011, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.24071, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.8434, 0.096416
18, -0.7154, 2.2717, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.5024, 3.9596, 0.0047993, 4.5416, 0.096416
19, -0.7234, 2.1212, 0.1953, 0.20941, 0.01, 0.37234, 11.007, 0.39847, 130.1, 1.6447, 1.3737, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
20, -0.7237, 1.5886, 0.13541, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
21, -0.7238, 2.1212, 0.1953, 0.2678, 0.012332, 0.3148, 11.623, 0.39847, 110.96, 1.6447, 2.1529, 0.014229, 0.0051449, 0.53928, 3.9596, 0.0047993, 4.5416, 0.096416
22, -0.7261, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 2.1804, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
23, -0.7265, 2.1212, 0.1953, 0.19414, 0.01, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
24, -0.7267, 2.713, 0.23152, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.8202, 0.96284, 0.014104, 0.0051449, 0.53843, 3.9596, 0.0047993, 4.6659, 0.096416
25, -0.7279, 2.3243, 0.1953, 0.19176, 0.012332, 0.36141, 11.623, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.30476, 3.9596, 0.0047993, 4.5416, 0.096416
26, -0.7282, 2.1694, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 1.53, 0.020124, 0.0051449, 0.46428, 3.9596, 0.0047993, 5.0095, 0.096416
27, -0.7315, 2.1212, 0.1953, 0.19176, 0.012332, 0.39304, 11.623, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
28, -0.7320, 2.1212, 0.1953, 0.19176, 0.01, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 1.53, 0.014337, 0.0055601, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
