Rank, Fitness, kfsr, krsr, kfmm, krmm, kf1x, kr1x, kfc, krc, krmmTriCoop, kx2, krx2, S0, R0, X0, X0_stimScale
0, -0.1767, 0.017382, 0.23534, 0.018098, 2.907, 0.41189, 23.834, 3.2097, 0.20456, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
1, -0.1784, 0.01786, 0.23534, 0.010079, 2.907, 0.41189, 19.541, 2.8189, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
2, -0.1789, 0.01786, 0.23534, 0.013853, 2.907, 0.41189, 23.834, 3.4216, 0.55531, 2.1056, 0.086371, 10, 0.019183, 664.95, 20.641, 4.1004
3, -0.1820, 0.01786, 0.23534, 0.013853, 2.907, 0.41189, 23.834, 4.2282, 0.47637, 3.029, 0.086371, 7.6135, 0.019183, 580.37, 20.641, 4.1004
4, -0.1837, 0.01786, 0.23534, 0.013853, 2.1865, 0.41189, 23.834, 2.8189, 0.38637, 2.7692, 0.086371, 7.6135, 0.019183, 629.99, 24.297, 4.8265
5, -0.1845, 0.01786, 0.23534, 0.013853, 2.907, 0.41189, 23.834, 2.8189, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 727.36, 20.641, 4.1004
6, -0.1868, 0.01786, 0.23534, 0.013853, 2.9565, 0.41189, 23.834, 2.8189, 0.53004, 2.9679, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
7, -0.1888, 0.01786, 0.23534, 0.014279, 2.4068, 0.60969, 23.834, 2.8189, 0.38637, 1.7576, 0.086371, 10, 0.019183, 664.95, 20.641, 4.1004
8, -0.1888, 0.01786, 0.23534, 0.013853, 3.4207, 0.41189, 23.834, 3.3851, 0.38637, 2.1056, 0.071792, 7.6135, 0.019183, 664.95, 20.641, 4.1004
9, -0.1892, 0.01786, 0.23534, 0.013853, 2.907, 0.41189, 22.877, 2.8189, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
10, -0.1892, 0.023898, 0.25676, 0.013853, 2.907, 0.21642, 18.315, 2.8189, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 18.222, 4.1004
11, -0.1905, 0.01786, 0.18585, 0.013853, 1.7225, 0.41189, 33.379, 2.746, 0.32272, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
12, -0.1907, 0.01786, 0.23534, 0.013853, 2.907, 0.57604, 23.834, 2.8189, 0.4533, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
13, -0.1935, 0.01786, 0.23534, 0.01957, 2.907, 0.41189, 23.834, 2.8189, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
14, -0.1942, 0.01786, 0.23534, 0.013853, 2.907, 0.41189, 23.834, 2.8189, 0.38637, 2.1056, 0.086371, 4.7838, 0.019183, 578.04, 20.641, 4.1004
15, -0.1958, 0.01786, 0.23534, 0.013853, 2.907, 0.41189, 23.834, 2.8189, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
16, -0.1966, 0.01786, 0.23534, 0.013853, 3.6888, 0.41189, 23.834, 2.8189, 0.38637, 2.1056, 0.086749, 7.6135, 0.019183, 664.95, 20.641, 4.1004
17, -0.1966, 0.01786, 0.23534, 0.012311, 2.907, 0.41189, 23.834, 2.8189, 0.56715, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
18, -0.1967, 0.01786, 0.23534, 0.012163, 3.0575, 0.41189, 23.834, 2.8189, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
19, -0.1971, 0.01786, 0.23534, 0.013853, 2.907, 0.41189, 23.834, 2.8189, 0.38637, 2.1056, 0.086371, 7.6135, 0.021284, 664.95, 20.641, 3.478
20, -0.1973, 0.01786, 0.23534, 0.013853, 2.907, 0.39684, 15.851, 2.8189, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
21, -0.1975, 0.01786, 0.23534, 0.010209, 2.907, 0.41189, 23.834, 2.8189, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
22, -0.1993, 0.01786, 0.23534, 0.013853, 3.9696, 0.40633, 23.834, 2.8189, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
23, -0.1996, 0.030416, 0.33504, 0.013853, 2.907, 0.36961, 37.789, 2.043, 0.38637, 2.1056, 0.086371, 7.6135, 0.024275, 664.95, 20.641, 3.2256
24, -0.2006, 0.043332, 0.23534, 0.020243, 2.907, 0.29646, 46.474, 2.043, 0.38637, 2.9868, 0.086371, 7.6135, 0.015056, 664.95, 20.641, 4.3632
25, -0.2051, 0.01786, 0.23534, 0.013853, 2.907, 0.41189, 23.834, 2.8189, 0.38637, 2.8485, 0.086371, 7.6135, 0.019183, 646.08, 20.641, 4.1004
26, -0.2056, 0.01786, 0.23534, 0.013853, 2.907, 0.41189, 23.834, 2.8189, 0.465, 2.1056, 0.11112, 7.6135, 0.019183, 664.95, 20.641, 4.1004
