Rank, Fitness, kfsr, krsr, kfmm, krmm, kf1x, kr1x, kfc, krc, krmmTriCoop, kx2, krx2, S0, R0, X0, X0_stimScale
0, -0.5022, 0.046393, 0.22236, 7.777, 69.92, 0.016243, 0.39005, 0.11545, 0.39002, 4.8525, 0.059875, 16.38, 3.6301, 30.619, 9.7509, 1
1, -0.5107, 0.046393, 0.22236, 7.777, 65.895, 0.013017, 0.46317, 0.11545, 0.44352, 3.7428, 0.059875, 16.38, 3.6301, 30.967, 11.302, 1
2, -0.5145, 0.031177, 0.22236, 7.777, 47.727, 0.016243, 0.46801, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 31.573, 11.302, 1
3, -0.5253, 0.046393, 0.22236, 4.2717, 69.92, 0.012373, 0.35365, 0.10938, 0.56395, 3.7428, 0.059875, 24.141, 3.6301, 33.414, 11.302, 1
4, -0.5300, 0.051104, 0.25911, 7.777, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 1.9438, 32.527, 11.302, 1
5, -0.5313, 0.042801, 0.22236, 9.4715, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 27.756, 11.302, 1
6, -0.5317, 0.046393, 0.22236, 7.777, 69.92, 0.016243, 0.35365, 0.11042, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 28.364, 11.302, 1
7, -0.5331, 0.046393, 0.23654, 10, 69.92, 0.016243, 0.35365, 0.11545, 0.32209, 3.7428, 0.059875, 16.38, 3.6301, 28.735, 11.302, 1
8, -0.5336, 0.046393, 0.22236, 7.777, 69.92, 0.016243, 0.35365, 0.14231, 0.39002, 3.7428, 0.059875, 14.451, 3.5576, 26.035, 11.302, 1
9, -0.5342, 0.046393, 0.21038, 7.777, 69.92, 0.016243, 0.35365, 0.11545, 0.34855, 3.7428, 0.04308, 17.902, 3.6301, 26.035, 11.302, 1
10, -0.5345, 0.046393, 0.22236, 4.6959, 69.92, 0.011987, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 1.9731, 38.517, 10.821, 1
11, -0.5358, 0.046393, 0.22236, 10, 64.384, 0.016243, 0.35365, 0.11545, 0.54074, 3.7428, 0.0539, 16.38, 3.6301, 26.035, 11.302, 1
12, -0.5361, 0.043978, 0.22236, 7.777, 69.92, 0.016243, 0.35365, 0.11545, 0.23685, 3.7428, 0.059875, 17.978, 3.1977, 32.272, 11.302, 1
13, -0.5365, 0.038946, 0.22236, 7.777, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.039766, 16.38, 4.9361, 26.035, 11.302, 1
14, -0.5370, 0.046393, 0.19814, 7.777, 69.92, 0.016243, 0.35365, 0.13014, 0.39002, 3.7428, 0.048409, 16.38, 3.3623, 26.035, 11.302, 1
15, -0.5373, 0.046393, 0.22236, 7.777, 69.92, 0.018248, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 28.508, 11.302, 1
16, -0.5385, 0.047117, 0.22236, 10, 69.92, 0.016243, 0.4527, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6595, 26.035, 11.302, 1
17, -0.5385, 0.046393, 0.22236, 7.777, 36.657, 0.016149, 0.47194, 0.11545, 0.28169, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
18, -0.5389, 0.046393, 0.19978, 7.777, 69.92, 0.016243, 0.52861, 0.1, 0.39002, 3.7428, 0.037048, 16.38, 4.0279, 26.035, 11.302, 1
19, -0.5392, 0.040198, 0.22236, 10, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 4.1323, 0.059875, 22.697, 4.4714, 26.035, 11.302, 1
20, -0.5399, 0.046393, 0.22236, 7.2711, 69.92, 0.019105, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 17.904, 3.6301, 29.6, 11.302, 1
21, -0.5408, 0.046393, 0.22236, 7.809, 69.92, 0.0086491, 0.25499, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 33.261, 11.302, 1
22, -0.5414, 0.046393, 0.22236, 7.777, 69.92, 0.016243, 0.35365, 0.11545, 0.46692, 3.7428, 0.059875, 16.38, 3.6301, 27.084, 11.302, 1
23, -0.5417, 0.046393, 0.22236, 7.777, 47.086, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
24, -0.5423, 0.057449, 0.22236, 7.777, 68.502, 0.016243, 0.35365, 0.1, 0.23624, 3.7428, 0.043992, 16.38, 3.6301, 26.035, 11.302, 1
25, -0.5425, 0.046393, 0.22236, 10, 69.92, 0.016243, 0.41859, 0.11545, 0.53477, 3.7428, 0.059875, 16.38, 3.4728, 26.035, 11.302, 1
26, -0.5425, 0.046393, 0.22236, 10, 94.13, 0.016243, 0.35365, 0.13331, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
27, -0.5431, 0.046393, 0.22236, 10, 41.294, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 19.781, 3.6301, 25.687, 11.302, 1
28, -0.5432, 0.046393, 0.22236, 7.777, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 4.4039, 0.04531, 16.38, 3.6301, 26.035, 9.9936, 1
29, -0.5438, 0.046393, 0.22236, 7.777, 69.92, 0.016243, 0.45117, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.841, 11.302, 1
30, -0.5440, 0.043142, 0.22236, 7.777, 69.92, 0.016243, 0.35365, 0.11545, 0.21048, 3.7428, 0.059875, 16.38, 3.6301, 31.175, 11.302, 1
31, -0.5450, 0.046393, 0.22236, 7.8006, 69.92, 0.016243, 0.27048, 0.11545, 0.39002, 3.7428, 0.036816, 16.38, 3.6301, 26.035, 11.302, 1
32, -0.5450, 0.046393, 0.22236, 7.777, 40.604, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.8128, 26.035, 11.302, 1
33, -0.5453, 0.046393, 0.22236, 7.2729, 37.998, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
34, -0.5453, 0.046393, 0.22236, 9.1227, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
35, -0.5456, 0.046393, 0.22236, 7.777, 69.92, 0.016243, 0.35365, 0.13726, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
36, -0.5457, 0.046393, 0.22236, 10, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
37, -0.5457, 0.034986, 0.22236, 7.777, 69.92, 0.0085919, 0.35365, 0.13792, 0.39002, 3.7428, 0.059875, 15.086, 3.6301, 38.881, 11.302, 1
38, -0.5459, 0.046393, 0.22236, 7.777, 69.92, 0.016243, 0.35365, 0.1274, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
39, -0.5466, 0.046393, 0.22236, 7.777, 48.677, 0.016243, 0.34979, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
40, -0.5467, 0.037714, 0.22236, 8.7429, 46.542, 0.016243, 0.35365, 0.11545, 0.39002, 3.8659, 0.059875, 16.38, 4.7928, 26.035, 11.302, 1
41, -0.5467, 0.046393, 0.22236, 7.777, 55.532, 0.016243, 0.35365, 0.11545, 0.29659, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
42, -0.5467, 0.046393, 0.22236, 3.8975, 69.92, 0.016243, 0.4142, 0.11545, 0.39002, 4.3211, 0.059875, 16.38, 5.1218, 26.035, 11.302, 1
43, -0.5468, 0.046393, 0.20515, 7.777, 69.92, 0.018156, 0.35365, 0.11545, 0.31582, 3.7428, 0.059875, 12.022, 3.6301, 26.035, 11.302, 1
44, -0.5469, 0.046393, 0.22236, 7.777, 69.92, 0.016243, 0.50318, 0.12818, 0.55904, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
45, -0.5471, 0.046393, 0.22236, 9.0022, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
46, -0.5479, 0.046393, 0.22236, 7.777, 69.92, 0.016243, 0.35365, 0.11545, 0.3297, 3.7428, 0.059875, 10.864, 3.6301, 26.035, 11.302, 1
47, -0.5488, 0.046393, 0.22236, 7.777, 38.264, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.9099, 26.035, 11.302, 1
48, -0.5490, 0.060786, 0.23659, 7.777, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
49, -0.5490, 0.046393, 0.17078, 9.3282, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
50, -0.5495, 0.057141, 0.22236, 7.777, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
51, -0.5497, 0.046393, 0.22236, 7.777, 59.332, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
52, -0.5503, 0.046393, 0.21303, 7.777, 69.92, 0.019901, 0.35365, 0.11545, 0.53833, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
53, -0.5504, 0.044297, 0.22236, 7.777, 69.92, 0.016243, 0.35365, 0.129, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
54, -0.5505, 0.046393, 0.22236, 7.777, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 11.895, 3.6301, 26.035, 11.302, 1
55, -0.5505, 0.06019, 0.22236, 7.777, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
56, -0.5507, 0.062801, 0.22236, 7.777, 69.92, 0.016243, 0.36884, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
57, -0.5508, 0.046393, 0.22236, 7.777, 69.92, 0.019374, 0.49264, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 33.225, 10.103, 1
58, -0.5509, 0.046393, 0.22236, 7.777, 69.92, 0.016243, 0.35365, 0.13227, 0.27104, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.084, 1
59, -0.5510, 0.046393, 0.22236, 7.777, 60.765, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
60, -0.5511, 0.046393, 0.22236, 7.777, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
61, -0.5511, 0.046393, 0.22236, 7.777, 69.92, 0.024063, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.624, 11.302, 1
62, -0.5514, 0.048634, 0.22236, 7.777, 57.037, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.064174, 16.38, 3.6301, 26.035, 11.302, 1
63, -0.5514, 0.046393, 0.22236, 7.777, 69.92, 0.020682, 0.35365, 0.11545, 0.43347, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
64, -0.5516, 0.0463, 0.22236, 7.777, 69.92, 0.020867, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
65, -0.5517, 0.046393, 0.25378, 7.777, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 32.162, 11.302, 1
66, -0.5518, 0.046393, 0.22236, 7.777, 83.042, 0.016243, 0.35365, 0.12504, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.284, 1
67, -0.5520, 0.068961, 0.31547, 6.8733, 69.92, 0.016243, 0.35365, 0.12177, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.302, 1
68, -0.5521, 0.046393, 0.22236, 8.3835, 75.391, 0.016243, 0.35365, 0.11545, 0.36084, 3.7428, 0.059875, 12.562, 3.6301, 26.035, 11.302, 1
69, -0.5522, 0.046393, 0.22236, 7.777, 69.92, 0.016243, 0.39492, 0.11545, 0.46117, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 11.515, 1
70, -0.5522, 0.046393, 0.22236, 7.777, 69.92, 0.016243, 0.35365, 0.15599, 0.39002, 3.7428, 0.06958, 16.38, 3.6301, 26.035, 11.302, 1
