Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
0, -2.2616, 0.15051, 0.0052008, 0.0046762, 0.037973, 0.025314, 2.5445, 4.7074, 0.05429, 0.19391, 18.022, 16.38, 0.050852, 0.16369, 29.02, 0.99988, 1.0888, 0.42415
1, -2.3091, 0.12838, 0.00667, 0.0046762, 0.049194, 0.018481, 2.5445, 7.0331, 0.077902, 0.1965, 19.133, 20.392, 0.042013, 0.16369, 21.248, 0.99988, 1.2387, 0.34195
2, -2.3101, 0.12838, 0.0052008, 0.0046762, 0.04542, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 21.096, 20.647, 0.036563, 0.24089, 23.054, 0.99988, 1.2387, 0.42415
3, -2.3126, 0.077641, 0.0032937, 0.0058042, 0.035809, 0.018467, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 15.118, 0.028796, 0.16369, 23.054, 0.64298, 1.2387, 0.42415
4, -2.3202, 0.17337, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1.1929, 0.42415
5, -2.3391, 0.12838, 0.0052008, 0.0046762, 0.042794, 0.021169, 2.5445, 6.2941, 0.05429, 0.19391, 19.526, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1, 0.42415
6, -2.3399, 0.12838, 0.0052008, 0.0031207, 0.035809, 0.018481, 2.5445, 5.0313, 0.05429, 0.16444, 19.133, 18.042, 0.036563, 0.21799, 23.054, 0.99988, 1.2387, 0.42415
7, -2.3500, 0.12838, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 20.07, 18.042, 0.036563, 0.16369, 16.363, 0.99988, 1.2387, 0.42415
8, -2.3659, 0.12838, 0.0066965, 0.0063779, 0.033004, 0.018481, 2.5878, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.20987, 23.054, 0.99988, 1.2387, 0.42415
9, -2.3774, 0.12838, 0.0052008, 0.0046762, 0.035809, 0.022593, 2.5445, 4.6746, 0.065056, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
10, -2.3774, 0.12838, 0.0052008, 0.005182, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1.225, 0.42415
11, -2.3817, 0.12838, 0.0043873, 0.0046762, 0.052959, 0.018481, 2.5445, 4.3895, 0.05429, 0.19391, 19.133, 14.179, 0.026004, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
12, -2.3828, 0.12838, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5091, 4.7074, 0.062644, 0.19391, 19.133, 18.042, 0.036563, 0.18858, 11.709, 0.99988, 1.2387, 0.42415
13, -2.3840, 0.12838, 0.002671, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.023134, 0.16369, 23.054, 1.0026, 1.2387, 0.42415
14, -2.3876, 0.12838, 0.0052008, 0.0046762, 0.017988, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 21.787, 0.72897, 1.2387, 0.42415
15, -2.3897, 0.12838, 0.0027396, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
16, -2.3923, 0.12838, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.047534, 0.27108, 15.341, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.3093
17, -2.3930, 0.12838, 0.0052008, 0.0034315, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 20.119, 18.042, 0.036563, 0.16369, 23.054, 0.70556, 1.2387, 0.42415
18, -2.3940, 0.1052, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.061404, 0.28955, 28.165, 18.042, 0.036563, 0.16369, 23.054, 0.97372, 1.2387, 0.42415
19, -2.3953, 0.15419, 0.0052008, 0.0051504, 0.018783, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 13.617, 0.036563, 0.16369, 33.359, 0.99988, 1.2387, 0.42415
20, -2.3970, 0.12838, 0.0028319, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
21, -2.4083, 0.071306, 0.0052008, 0.0046762, 0.030866, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
22, -2.4105, 0.12838, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.23612, 23.054, 0.82207, 1.2387, 0.42415
23, -2.4118, 0.12838, 0.0052008, 0.0027885, 0.039223, 0.018481, 2.5445, 4.7074, 0.05429, 0.17322, 19.133, 18.042, 0.036563, 0.18298, 23.054, 0.99988, 1.2387, 0.42415
24, -2.4195, 0.085285, 0.0052008, 0.0050657, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.029398, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
25, -2.4200, 0.13889, 0.0052008, 0.0046762, 0.024772, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 26.422, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.41082
26, -2.4284, 0.12838, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.16999, 19.133, 18.042, 0.036563, 0.20957, 23.054, 0.99988, 1.2387, 0.42415
27, -2.4290, 0.1545, 0.0052008, 0.0066827, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
28, -2.4324, 0.095951, 0.0052008, 0.0046762, 0.033132, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
29, -2.4325, 0.12838, 0.0034084, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 19.786, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
30, -2.4359, 0.12838, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.044086, 0.16369, 23.054, 0.99988, 1.162, 0.42415
31, -2.4387, 0.12838, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 21.98, 0.021117, 0.16779, 23.054, 0.57912, 1.2387, 0.42415
32, -2.4393, 0.12838, 0.0036219, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 23.054, 0.96378, 1.2387, 0.42415
33, -2.4399, 0.12838, 0.0027533, 0.0046762, 0.035809, 0.018481, 3.1251, 4.7074, 0.045807, 0.15469, 17.443, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
34, -2.4411, 0.067165, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.053705, 0.19391, 19.133, 14.403, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
35, -2.4419, 0.15978, 0.0052008, 0.0061868, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
36, -2.4435, 0.12838, 0.0038931, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.063179, 0.19391, 19.133, 20.338, 0.036563, 0.1232, 13.218, 0.99988, 1.2387, 0.42415
37, -2.4453, 0.12838, 0.0052008, 0.0053584, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
38, -2.4478, 0.12838, 0.0052008, 0.0068045, 0.035809, 0.018481, 2.9711, 4.7074, 0.055841, 0.19391, 19.024, 25.21, 0.036563, 0.16369, 30.903, 0.99988, 1.2387, 0.42415
39, -2.4496, 0.12838, 0.0052008, 0.004249, 0.026977, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
40, -2.4537, 0.12838, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 22.339, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
41, -2.4556, 0.17827, 0.0052008, 0.0046762, 0.024855, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
42, -2.4563, 0.12838, 0.0052008, 0.0046762, 0.020407, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.20907, 13.589, 0.99988, 1.2387, 0.42899
43, -2.4594, 0.12838, 0.0063472, 0.0046762, 0.031284, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
44, -2.4621, 0.12838, 0.0052008, 0.0046762, 0.037279, 0.018481, 2.9579, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 26.448, 0.99988, 1.2387, 0.42415
45, -2.4702, 0.12838, 0.0052008, 0.0047626, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
46, -2.4742, 0.10348, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 15.901, 0.036563, 0.16369, 22.689, 1.407, 1.2387, 0.42415
47, -2.4743, 0.12838, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.02587, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
