Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0
0, -6.2618, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.35951, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.50385, 0.1
1, -6.2752, 0.010514, 0.030441, 0.1, 1.3726, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 97.813, 1.0473, 0.50497, 0.1
2, -6.3191, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.12208, 0.24238, 74.685, 1.0473, 0.49575, 0.1
3, -6.3310, 0.010514, 0.030441, 0.1, 1.8936, 2.0571, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.24908, 0.16338, 74.685, 1.0473, 0.49826, 0.1
4, -6.3357, 0.012792, 0.036671, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 95.866, 1.0473, 0.48721, 0.1
5, -6.4071, 0.014235, 0.037841, 0.1, 2.0768, 1.7633, 0.089244, 6.635, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.50163, 0.1
6, -6.4195, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.8187, 0.010394, 2.1393, 0.24139, 0.19864, 0.19902, 0.16338, 74.685, 1.0473, 0.47527, 0.1
7, -6.4208, 0.0091644, 0.02585, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.084, 0.24139, 0.19864, 0.23281, 0.16338, 84.489, 1.0473, 0.47456, 0.1
8, -6.4512, 0.010514, 0.030441, 0.1, 2.4589, 1.7633, 0.11324, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.082217, 38.119, 1.0473, 0.46151, 0.1
9, -6.5442, 0.0089612, 0.030441, 0.1, 1.8936, 1.7633, 0.12834, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.47238, 0.1
10, -6.6270, 0.010514, 0.030441, 0.1, 2.5448, 1.7633, 0.089244, 9.0359, 0.010932, 2.5195, 0.24139, 0.17174, 0.23281, 0.16338, 74.685, 1.0473, 0.43669, 0.1
11, -6.6514, 0.010514, 0.030441, 0.1, 1.8936, 0.93751, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.43588, 0.1
12, -6.6669, 0.011301, 0.030441, 0.1, 1.8936, 1.7633, 0.085353, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.2133, 0.44908, 0.1
13, -6.6726, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.10809, 7.3209, 0.010394, 1.6998, 0.29048, 0.19864, 0.20547, 0.16338, 74.685, 1.0473, 0.47471, 0.1
14, -6.7238, 0.010514, 0.030441, 0.1, 1.8936, 2.0849, 0.084658, 7.3209, 0.011349, 3.1638, 0.24139, 0.21012, 0.20332, 0.16338, 74.685, 1.0473, 0.41449, 0.1
15, -6.7256, 0.010514, 0.02795, 0.1, 1.8936, 1.7633, 0.1191, 8.6724, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 86.942, 0.90883, 0.46537, 0.1
16, -6.8721, 0.010514, 0.025301, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 1.4537, 0.15397, 0.19864, 0.23281, 0.16338, 98.907, 0.69379, 0.49453, 0.1
17, -6.9124, 0.012931, 0.030441, 0.1, 1.6115, 1.7633, 0.059708, 7.3209, 0.010394, 2.1393, 0.24139, 0.13348, 0.23281, 0.10769, 74.685, 1.0473, 0.48487, 0.1
18, -6.9453, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 4.7974, 0.01, 2.1393, 0.24139, 0.19864, 0.2767, 0.16338, 88.156, 1.0473, 0.4722, 0.1
19, -7.0492, 0.0087227, 0.030441, 0.1, 1.0261, 1.7633, 0.089244, 4.2063, 0.010394, 3.0933, 0.31263, 0.24308, 0.23281, 0.16338, 74.685, 1.0473, 0.49165, 0.1
20, -7.2244, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 45.128, 0.79509, 0.43894, 0.1
21, -7.2322, 0.010514, 0.030441, 0.14739, 1.8936, 1.7633, 0.1195, 7.3209, 0.010394, 2.1393, 0.20031, 0.19864, 0.23281, 0.16338, 74.685, 1.0279, 0.41353, 0.1
