Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
0, -4.0000, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.041383, 0.2212, 63.093, 2.3173, 5.993, 42.873, 0.00056779, 0.44423, 2.1568, 0.01, 0.16105, 58.562
1, -4.0000, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.045053, 0.12858, 94.617, 1.7619, 5.993, 61.683, 0.00056061, 0.44423, 2.1568, 0.01, 0.2955, 58.562
2, -4.0000, 1.554, 0.0014921, 0.0031783, 204.51, 3.6055, 0.042593, 0.16155, 63.093, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.21727, 49.258
3, -4.0000, 1.9293, 0.0016935, 0.0031783, 204.51, 3.0047, 0.067425, 0.2212, 63.093, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.18021, 83.057
4, -4.0000, 1.554, 0.0014921, 0.0024866, 204.51, 3.0047, 0.050203, 0.2212, 63.093, 2.3173, 8.6346, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.20747, 58.562
5, -4.0000, 1.554, 0.0013472, 0.0032773, 204.51, 3.0047, 0.067425, 0.13843, 63.093, 2.3173, 5.993, 58.936, 0.00056061, 0.44423, 2.1568, 0.01, 0.16691, 58.562
6, -4.0000, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.2212, 63.093, 2.3173, 5.993, 47.567, 0.00056061, 0.57991, 2.1568, 0.01, 0.1798, 82.485
7, -4.0000, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.035385, 0.15991, 71.58, 2.3173, 8.8183, 67.517, 0.00056061, 0.44423, 2.1568, 0.01, 0.2955, 58.562
8, -4.0000, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.053291, 0.27652, 69.351, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.18122, 58.562
9, -4.0000, 1.554, 0.0014921, 0.0031783, 124.44, 3.0047, 0.067425, 0.2212, 63.093, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 2.9735, 0.01, 0.15341, 67.917
10, -4.0000, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.051887, 0.14738, 56.751, 1.1673, 5.993, 47.567, 0.00030613, 0.57321, 2.1568, 0.01, 0.2955, 76.723
11, -4.0000, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.16611, 63.093, 2.2954, 8.4838, 47.567, 0.00056061, 0.22453, 2.1568, 0.01, 0.24484, 58.562
12, -4.0000, 1.554, 0.0014921, 0.0031783, 305.29, 3.0047, 0.067425, 0.2212, 82.39, 1.5845, 8.2367, 47.567, 0.00052322, 0.44423, 2.3104, 0.01, 0.2955, 87.068
13, -4.0000, 1.554, 0.0014921, 0.0038096, 204.51, 4.1927, 0.067425, 0.2212, 63.093, 1.721, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.23023, 58.562
