Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0
0, -0.4455, 6.857, 44.078, 0.4651, 0.41126, 0.25823, 0.014431, 0.29522, 0.10575, 10, 0.7679, 0.0073227, 0.043771, 0.23088, 45.293, 0.062777, 60.741, 0.069389
1, -0.4500, 6.9393, 44.078, 0.49119, 0.60854, 0.25819, 0.012624, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.045316, 0.23088, 45.293, 0.062777, 60.741, 0.069389
2, -0.4504, 6.857, 44.078, 0.63154, 0.35578, 0.20129, 0.014412, 0.33185, 0.10575, 10, 0.87767, 0.011332, 0.025613, 0.23088, 63.445, 0.062777, 60.741, 0.069389
3, -0.4512, 6.857, 49.272, 0.5535, 0.56392, 0.21275, 0.014565, 0.33513, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
4, -0.4535, 6.857, 44.078, 0.4651, 0.41126, 0.24868, 0.012754, 0.29522, 0.10575, 10, 0.91981, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
5, -0.4564, 6.857, 44.078, 0.4651, 0.41126, 0.24584, 0.013227, 0.32204, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 39.364, 0.062777, 60.741, 0.069389
6, -0.4573, 6.857, 44.078, 0.4651, 0.41126, 0.2544, 0.011926, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
7, -0.4637, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.012876, 0.29522, 0.104, 10, 0.7679, 0.01408, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
8, -0.4766, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.012244, 0.29522, 0.10575, 10, 0.98558, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
9, -0.4781, 6.857, 44.078, 0.4651, 0.29494, 0.21275, 0.011804, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.040705, 0.23088, 45.293, 0.062777, 60.741, 0.069389
10, -0.4789, 6.857, 44.078, 0.32892, 0.41126, 0.21275, 0.011567, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
11, -0.4816, 6.857, 44.078, 0.4651, 0.49353, 0.21275, 0.014236, 0.29522, 0.10575, 10, 0.75155, 0.0095857, 0.022446, 0.23088, 45.293, 0.062777, 60.741, 0.069389
12, -0.4820, 6.857, 44.078, 0.39925, 0.56196, 0.21275, 0.013594, 0.29522, 0.10575, 10, 1.1045, 0.0095857, 0.047138, 0.14866, 45.293, 0.062777, 60.741, 0.069389
13, -0.4827, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.014683, 0.29522, 0.10575, 10, 0.55758, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
14, -0.4840, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.010727, 0.29522, 0.10575, 10, 0.99219, 0.013986, 0.041979, 0.23088, 45.293, 0.062777, 61.097, 0.069389
15, -0.4878, 6.857, 44.078, 0.4651, 0.41126, 0.24765, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 58.242, 0.062777, 60.741, 0.069389
16, -0.4879, 6.857, 44.078, 0.4651, 0.41126, 0.26104, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 50.394, 0.062777, 60.741, 0.069389
17, -0.4881, 6.857, 46.233, 0.4651, 0.60251, 0.26068, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.060367, 0.23088, 45.293, 0.062777, 60.741, 0.069389
18, -0.4881, 6.857, 44.078, 0.37108, 0.41126, 0.2392, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.034256, 0.23088, 45.293, 0.062777, 60.741, 0.069389
