Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0, kfcm, krcm, eCA, kclus
0, -6.1679, 0.011729, 0.90566, 0.5263, 2.0846, 10, 21.324, 0.022977, 881.75, 1.9673, 0.12764, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.12099, 2.2697,0.00016308,9.3518,0.10724
1, -6.1741, 0.011729, 0.90566, 0.3718, 2.2454, 8.4427, 21.324, 0.022977, 1000, 1.4663, 0.12764, 0.0064561, 0.066946, 0.12898, 21.743, 0.0539, 843.2, 0.12278, 2.9992,0.0001586,7.3727,0.10724
2, -6.1966, 0.016876, 0.90566, 0.31021, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.009242, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,5.7527,0.10724
3, -6.1979, 0.011729, 0.90566, 0.5263, 1.9034, 10, 21.324, 0.022977, 881.75, 1.438, 0.16018, 0.0078075, 0.066946, 0.0887, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.10724
4, -6.1986, 0.011729, 0.90566, 0.5263, 1.9034, 10, 21.324, 0.022977, 881.75, 0.99584, 0.12084, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 606.48, 0.13516, 2.9992,0.00016308,9.3518,0.10724
5, -6.1986, 0.011729, 0.90566, 0.5263, 1.9034, 10, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0091316, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00021383,4.7077,0.10724
6, -6.2016, 0.011729, 0.73318, 0.5263, 2.2931, 7.1968, 21.324, 0.022977, 1000, 1.438, 0.14131, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 596.39, 0.13516, 2.9992,0.00016308,9.5756,0.10724
7, -6.2016, 0.011729, 0.8464, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.009424, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 1.8598,0.00016308,9.3518,0.10724
8, -6.2032, 0.011729, 0.90566, 0.5263, 1.9034, 10, 21.324, 0.024307, 881.75, 1.438, 0.12764, 0.0091837, 0.066946, 0.11374, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,13.691,0.10724
9, -6.2047, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.17859, 0.0064561, 0.066946, 0.16984, 16.461, 0.0539, 602.46, 0.13516, 2.9989,0.00016308,9.3518,0.10724
