Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eMLoop, eDF, kfdd, stimUpSR, S0, R0, X0, kfcm, krcm, eCA, kclus, eDLoop
0, -2.5256, 3.9666, 0.035802, 0.052633, 173.82, 2.2737, 150.22, 5.2567, 2.8753, 1.5942, 0.16674, 0.32713, 0.32335, 0.019454, 7.3185, 1.5305, 37.844, 0.087074, 0.069107,1e-26,3.5139, 0.14683, 1e-26
1, -2.5257, 3.9666, 0.035802, 0.052633, 173.82, 2.0952, 150.22, 5.2567, 2.8753, 1.5942, 0.14473, 0.31663, 0.32335, 0.019454, 10.251, 1.2618, 37.844, 0.087074, 0.069107,1e-26,3.5139, 0.14683, 1e-26
2, -2.5273, 2.7566, 0.035802, 0.052633, 173.82, 2.6317, 150.22, 5.2567, 3.5761, 1.5942, 0.14473, 0.35456, 0.32335, 0.019454, 7.3185, 1.7992, 37.844, 0.087074, 0.069107,1e-26,3.5139, 0.14683, 1e-26
3, -2.5314, 3.3657, 0.035802, 0.052633, 173.82, 2.2737, 109.92, 5.2567, 2.8753, 1.5942, 0.14473, 0.30574, 0.24327, 0.019454, 7.3185, 1.5305, 32.358, 0.087074, 0.069107,1e-26,3.5139, 0.14683, 1e-26
4, -2.5375, 3.5692, 0.035802, 0.052633, 173.82, 2.2737, 150.22, 5.2567, 3.1159, 1.5942, 0.14473, 0.36319, 0.32335, 0.019454, 7.3185, 2.2075, 37.844, 0.087074, 0.069107,1e-26,3.4782, 0.14683, 1e-26
5, -2.5383, 3.9666, 0.035802, 0.052633, 217.44, 2.2737, 150.22, 4.9231, 2.8753, 1.8026, 0.19779, 0.38135, 0.32335, 0.022985, 7.3185, 1.5305, 37.844, 0.087074, 0.069107,1e-26,3.5139, 0.14683, 1e-26
6, -2.5436, 3.9666, 0.050354, 0.052633, 173.82, 3.3864, 150.22, 5.2567, 3.7339, 1.4651, 0.14473, 0.38135, 0.32335, 0.027686, 7.3185, 1.5305, 37.844, 0.087074, 0.095685,1e-26,3.5798, 0.093923, 1e-26
7, -2.5448, 3.9666, 0.035802, 0.03306, 173.82, 3.0125, 150.22, 3.9166, 2.8753, 1.5942, 0.14473, 0.38135, 0.32335, 0.019454, 7.3185, 1.5305, 37.844, 0.087074, 0.10181,1e-26,3.5139, 0.14683, 1e-26
8, -2.5449, 3.9666, 0.035802, 0.052633, 149.66, 2.2737, 150.22, 5.2567, 2.8753, 1.5942, 0.16617, 0.38135, 0.36519, 0.019454, 6.2609, 1.5305, 37.844, 0.087074, 0.069107,1e-26,2.2619, 0.14683, 1e-26
9, -2.5455, 3.9666, 0.033338, 0.052633, 173.82, 2.2737, 129.22, 5.2567, 3.5897, 1.5942, 0.14473, 0.38135, 0.32335, 0.019454, 7.3185, 1.5305, 37.844, 0.087074, 0.095601,1e-26,3.5139, 0.14683, 1e-26
