Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfq, krq, eLoop, eDF, kfdd, Sd, stimUpSR, S0, R0, X0, Q0
0, -2.7893, 0.97533, 0.016528, 0.041216, 7.9617, 0.02721, 0.32419, 3.0741, 14.483, 0.35038, 49.578, 0.0034257, 1.8348, 0.039882, 2.8436, 44.281, 0.0038503, 2562.5, 0.37573,0.68352
1, -2.8072, 0.69595, 0.016528, 0.045238, 7.9617, 0.02721, 0.32419, 3.0741, 14.483, 0.19105, 49.578, 0.0035783, 1.8348, 0.039882, 2.6911, 44.281, 0.0038503, 2143.7, 0.37573,0.7435
2, -2.8102, 0.69595, 0.016528, 0.039911, 7.9617, 0.021848, 0.32419, 3.0741, 14.483, 0.35038, 66.017, 0.0034257, 1.6676, 0.039882, 2.6911, 44.281, 0.0038503, 2320.4, 0.53144,0.68352
3, -2.8281, 0.69595, 0.016528, 0.043299, 7.9617, 0.02721, 0.32419, 3.0741, 14.483, 0.35038, 49.578, 0.0034257, 1.8348, 0.039882, 2.6911, 44.281, 0.0038503, 2562.5, 0.37573,0.68352
4, -2.8354, 0.71698, 0.016528, 0.072335, 10.169, 0.029296, 0.32419, 3.0741, 14.483, 0.35038, 49.578, 0.0034257, 1.8348, 0.039882, 2.6911, 44.281, 0.0038503, 2562.5, 0.37573,0.68352
5, -2.8444, 0.69595, 0.016528, 0.072335, 9.6591, 0.02721, 0.32419, 3.0741, 14.483, 0.35038, 49.578, 0.0034257, 1.8348, 0.039882, 2.6911, 31.931, 0.0038503, 2732, 0.40433,0.61189
6, -2.8468, 0.69595, 0.016528, 0.049462, 7.9617, 0.02721, 0.32419, 3.0741, 14.483, 0.35038, 29.2, 0.0034257, 1.8348, 0.039882, 2.6911, 44.281, 0.0038503, 2640.1, 0.37573,0.68352
7, -2.8537, 0.56974, 0.016528, 0.0449, 7.9617, 0.02721, 0.32419, 3.0741, 14.483, 0.46933, 25.047, 0.0034257, 1.8348, 0.039882, 2.6911, 44.281, 0.0038503, 2729.6, 0.37573,0.68352
8, -2.8736, 0.69595, 0.016528, 0.072335, 10.265, 0.02721, 0.32419, 3.0741, 14.483, 0.35038, 49.578, 0.0034257, 1.8348, 0.039882, 2.036, 44.281, 0.0038503, 2562.5, 0.37573,0.68352
9, -2.8743, 0.69595, 0.016528, 0.053691, 11.365, 0.02721, 0.32419, 3.0741, 14.483, 0.35038, 49.578, 0.0034257, 1.8348, 0.039882, 2.6911, 44.281, 0.0038503, 1355.5, 0.49795,0.68352
10, -2.8751, 0.69595, 0.024063, 0.060876, 7.9617, 0.02721, 0.45524, 3.0741, 14.483, 0.35038, 49.578, 0.0034257, 1.8348, 0.039882, 2.6911, 44.281, 0.0038503, 2562.5, 0.54916,0.68352
11, -2.8840, 0.69595, 0.016528, 0.072335, 7.9617, 0.038252, 0.32419, 3.0741, 14.483, 0.35038, 49.578, 0.0034257, 1.8348, 0.039882, 2.6911, 44.281, 0.0038503, 2562.5, 0.30472,0.68352
12, -2.8870, 0.69595, 0.016528, 0.072335, 7.9617, 0.02721, 0.29254, 3.0741, 14.483, 0.35038, 49.578, 0.0034257, 1.8348, 0.030159, 2.6911, 36.091, 0.0038503, 2562.5, 0.37573,0.61655
13, -2.8870, 0.69595, 0.016528, 0.072335, 7.9617, 0.029967, 0.32419, 3.0741, 14.483, 0.35038, 49.578, 0.0034257, 1.8348, 0.039882, 2.6911, 44.281, 0.0038503, 2562.5, 0.37573,0.68352
