Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0, kfcm, krcm, eCA, kclus
0, -7.2879, 0.004609, 0.088859, 0.87534, 0.039951, 0.20455, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 4.5896, 7.1324, 22.593, 0.34179, 0.61778,1e-26,0.67615,0.0091265
1, -7.2992, 0.0049205, 0.063021, 1.2078, 0.026982, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.044353, 4.5896, 7.801, 40.694, 0.30417, 0.61778,1e-26,0.67615,0.0091265
2, -7.3030, 0.0061233, 0.063021, 0.80112, 0.053634, 0.13701, 9.3991, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 4.5896, 7.801, 29.869, 0.34179, 0.44455,1e-26,0.67615,0.0091265
3, -7.3044, 0.0049205, 0.094244, 1.037, 0.042873, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.029497, 4.5896, 7.801, 29.869, 0.34179, 0.61778,1e-26,0.67615,0.0091265
4, -7.3045, 0.0049205, 0.087337, 0.87534, 0.03723, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 4.5896, 7.801, 29.869, 0.34179, 0.62964,1e-26,0.67615,0.0091265
5, -7.3045, 0.0049205, 0.063021, 0.87534, 0.033865, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.025954, 4.5896, 10, 29.869, 0.34179, 0.61778,1e-26,0.67615,0.0091265
6, -7.3047, 0.0049205, 0.085549, 0.87534, 0.039951, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.033437, 4.5896, 7.801, 29.869, 0.34179, 0.61778,1e-26,0.67615,0.0091265
7, -7.3047, 0.0049205, 0.090858, 0.87534, 0.029741, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 4.5896, 7.801, 29.869, 0.34179, 0.61778,1e-26,0.59864,0.0091265
8, -7.3047, 0.0049205, 0.063021, 0.87534, 0.054061, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 4.0316, 7.801, 29.869, 0.34179, 0.80848,1e-26,0.99798,0.0084756
9, -7.3047, 0.0049205, 0.063021, 0.87534, 0.054262, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 3.0979, 7.801, 29.869, 0.34179, 0.61778,1e-26,0.67615,0.0091265
10, -7.3049, 0.0049205, 0.063021, 0.87534, 0.04863, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 4.5896, 7.801, 29.869, 0.34179, 0.61778,1e-26,0.67615,0.0087525
11, -7.3050, 0.0049205, 0.059825, 0.87534, 0.042522, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.11052, 0.032844, 4.5896, 7.801, 29.869, 0.34179, 0.61778,1e-26,0.67615,0.0091265
12, -7.3051, 0.0049205, 0.063021, 0.71827, 0.043716, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.048451, 4.5896, 7.801, 29.869, 0.34179, 0.61778,1e-26,0.7196,0.0091265
13, -7.3052, 0.0049205, 0.063021, 0.69839, 0.039951, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 5.655, 7.801, 29.869, 0.34179, 0.61778,1e-26,0.94829,0.0091265
14, -7.3052, 0.006059, 0.063021, 0.87534, 0.039951, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 4.5896, 7.801, 27.235, 0.34179, 0.61778,1e-26,0.67615,0.0091265
15, -7.3053, 0.0049205, 0.063021, 0.87534, 0.039951, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 4.5896, 8.4866, 29.869, 0.34179, 0.61778,1e-26,0.67615,0.0091265
16, -7.3055, 0.0049205, 0.063021, 0.87534, 0.039951, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.12127, 0.032844, 3.9043, 7.801, 29.869, 0.34179, 0.61778,1e-26,0.67615,0.0091265
17, -7.3056, 0.0049205, 0.063021, 0.61237, 0.039951, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 5.6236, 7.801, 29.869, 0.34179, 0.84998,1e-26,0.57774,0.0091265
18, -7.3057, 0.0049205, 0.063021, 0.81402, 0.039951, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 5.7289, 7.801, 29.869, 0.34179, 0.61778,1e-26,0.67615,0.0091265
19, -7.3058, 0.0049205, 0.0661, 0.87534, 0.039951, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.023828, 3.4607, 7.801, 29.869, 0.34179, 0.61778,1e-26,0.37315,0.0091265
20, -7.3058, 0.0049205, 0.063021, 0.87534, 0.039951, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.1256, 0.032844, 4.5896, 7.801, 29.869, 0.34179, 0.50308,1e-26,0.67615,0.0091265
21, -7.3060, 0.0049205, 0.063021, 0.87534, 0.021222, 0.1486, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.081577, 0.032844, 6.2136, 7.801, 29.869, 0.34179, 0.61778,1e-26,0.67615,0.0091265
22, -7.3060, 0.0049205, 0.063021, 0.87534, 0.03948, 0.13585, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 4.5896, 7.801, 29.869, 0.34179, 0.56587,1e-26,0.67615,0.0091265
23, -7.3061, 0.0049205, 0.063021, 0.84694, 0.039951, 0.13701, 9.5463, 0.0029197, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 4.5896, 7.801, 29.869, 0.34179, 0.61778,1e-26,0.67615,0.0091265
