Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eMLoop, eDF, kfdd, stimUpSR, S0, R0, X0, C0, kfcm, krcm, eCA, kclus, eDLoop
0, -7.1694, 1.428, 0.012156, 0.022325, 0.18847, 1.0502, 0.081041, 0.0020784, 168.85, 0.5727, 48.525, 1.2346, 1.8089, 0.35783, 2.7481, 0.16116, 535.47, 1.6157,1.355, 1e-26,987.18,5.3378, 1e-26, 4.8695
1, -7.1795, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.043633, 0.0026102, 168.85, 0.5727, 48.525, 1.1075, 2.3729, 0.35783, 2.6172, 0.16116, 270.4, 1.6708,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
2, -7.1799, 0.74563, 0.012156, 0.015641, 0.12915, 1.0502, 0.081041, 0.0026102, 202.56, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.6672,1.355, 1e-26,987.18,3.3399, 1e-26, 4.8695
3, -7.1854, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 0.79619, 3.049, 0.35783, 2.2733, 0.16116, 535.47, 1.691,1.355, 1e-26,987.18,2.4581, 1e-26, 4.8695
4, -7.1865, 1.5451, 0.0095044, 0.015641, 0.27027, 1.0502, 0.054953, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 2.0972, 0.35783, 2.7481, 0.10982, 535.47, 1.7047,1.355, 1e-26,1000,5.2682, 1e-26, 4.8695
5, -7.1869, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0023938, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 294.18, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.7763
6, -7.1873, 1.428, 0.012156, 0.015641, 0.1397, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.11012, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
7, -7.1874, 1.428, 0.012156, 0.014987, 0.18847, 1.157, 0.081041, 0.0024731, 132.6, 0.5727, 48.525, 1.3014, 3.049, 0.35783, 4.0268, 0.09778, 620.37, 1.7047,1.9082, 1e-26,987.18,2.5719, 1e-26, 4.8695
8, -7.1877, 1.428, 0.016713, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 2.7172, 0.35783, 2.7481, 0.16116, 535.47, 1.6813,1.355, 1e-26,987.18,3.3586, 1e-26, 4.8695
9, -7.1877, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.32045, 2.7481, 0.13693, 535.47, 1.7047,1.355, 1e-26,987.18,2.193, 1e-26, 4.8695
