Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfq, krq, eLoop, eDF, kfdd, Sd, stimUpSR, S0, R0, X0, Q0
0, -1.8155, 5.316, 2.7895, 1.3911, 0.65037, 2.2365, 353.54, 10, 0.058813, 0.0010446, 5.0069, 1.3744, 0.014047, 0.52288, 0.1, 3.7537, 0.0030048, 121.6, 0.024623,8.3732
1, -1.8169, 5.316, 2.7895, 1.3911, 0.65037, 2.2365, 353.54, 10, 0.058813, 0.0010446, 5.0069, 1.3744, 0.014267, 0.52288, 0.10027, 3.7537, 0.0030048, 121.6, 0.024623,8.3732
2, -1.8201, 5.1332, 2.7895, 1.3911, 0.65037, 2.2365, 353.54, 10, 0.056035, 0.0010446, 5.0069, 1.3744, 0.014529, 0.52288, 0.11539, 3.7537, 0.0031376, 121.6, 0.024623,8.3732
3, -1.8204, 5.316, 2.7895, 1.3911, 0.65037, 2.2365, 353.54, 10, 0.052997, 0.0010446, 3.3407, 1.6861, 0.014188, 0.52288, 0.11539, 3.7537, 0.0030048, 121.6, 0.024623,8.3732
4, -1.8220, 5.316, 2.7895, 1.3911, 0.65037, 2.2365, 353.54, 10, 0.058813, 0.0013801, 5.0069, 1.3744, 0.016816, 0.52288, 0.11539, 3.7537, 0.0030048, 121.6, 0.024232,8.3732
5, -1.8257, 5.316, 2.7895, 1.5015, 0.65037, 2.2365, 353.54, 10, 0.057888, 0.0010446, 5.0069, 1.3744, 0.016794, 0.52288, 0.11539, 3.7537, 0.0030048, 121.6, 0.024623,8.3732
6, -1.8267, 5.316, 2.7895, 1.3911, 0.65037, 2.2365, 353.54, 10, 0.058813, 0.0010344, 5.0069, 1.3744, 0.01481, 0.52288, 0.11539, 3.7537, 0.0030048, 121.6, 0.024623,8.692
7, -1.8366, 5.316, 2.7895, 1.3911, 0.65037, 2.1503, 353.54, 10, 0.058813, 0.0010446, 6.5604, 1.6683, 0.015485, 0.52288, 0.11539, 3.7537, 0.0030048, 121.6, 0.024623,8.3732
8, -1.8375, 5.316, 2.7895, 1.3911, 0.65037, 2.2365, 353.54, 10, 0.058813, 0.0010446, 5.0069, 1.3744, 0.017177, 0.6537, 0.11539, 3.7537, 0.0030048, 121.6, 0.024623,8.3732
9, -1.8388, 5.316, 2.7895, 1.3911, 0.65037, 2.2365, 353.54, 10, 0.058813, 0.0010446, 5.0069, 1.3744, 0.015852, 0.33446, 0.11539, 3.7537, 0.0030048, 121.6, 0.024623,8.3732
10, -1.8421, 5.316, 2.7895, 1.3911, 0.65037, 2.2365, 353.54, 10, 0.058813, 0.001, 5.0069, 1.3744, 0.017341, 0.52288, 0.11539, 3.7537, 0.0030048, 121.6, 0.024623,8.3732
11, -1.8449, 5.316, 2.7895, 1.3911, 0.65037, 2.2365, 353.54, 10, 0.058813, 0.0010446, 5.0069, 1.3744, 0.017859, 0.52288, 0.11539, 3.7537, 0.0030048, 121.6, 0.024623,8.3732
12, -1.8479, 5.316, 3.4274, 1.3911, 0.52252, 2.2365, 353.54, 10, 0.058813, 0.0010446, 5.0069, 1.3744, 0.023093, 0.52288, 0.11539, 3.7537, 0.0030048, 146.24, 0.024623,8.3732
13, -1.8486, 5.316, 2.7895, 1.3911, 0.65037, 2.2365, 353.54, 10, 0.058813, 0.001, 5.0069, 1.3744, 0.027138, 0.52288, 0.1, 3.8453, 0.0030048, 121.6, 0.024623,8.3732
14, -1.8498, 5.316, 2.7895, 1.3911, 0.45185, 2.2365, 353.54, 10, 0.045531, 0.0010446, 5.0069, 1.3744, 0.027138, 0.36749, 0.11539, 3.7537, 0.0028352, 121.6, 0.024623,8.3732
15, -1.8511, 5.316, 2.7895, 1.344, 0.65037, 2.2365, 353.54, 10, 0.058813, 0.0013127, 5.0069, 1.3744, 0.019972, 0.52288, 0.1, 3.7537, 0.0030048, 121.6, 0.024623,8.3732
16, -1.8515, 5.316, 2.7895, 0.9788, 0.37911, 2.2365, 353.54, 10, 0.058813, 0.001, 5.0069, 1.3138, 0.027138, 0.52288, 0.11539, 3.7537, 0.0029543, 121.6, 0.024623,8.3732
